Date,Open,High,Low,Close,Adj Close,Volume
2021-12-28,62.520000,63.400002,62.029999,62.270000,61.577282,1106618
2021-12-29,62.270000,63.860001,61.910000,62.130001,61.438839,866813
2021-12-30,62.279999,63.500000,62.270000,62.939999,62.239826,1048744
2021-12-31,62.830002,63.240002,62.450001,62.970001,62.269497,476638
2022-01-03,63.080002,63.790001,62.320000,62.470001,61.775059,543738
2022-01-04,62.930000,63.200001,61.500000,62.910000,62.210163,1220353
2022-01-05,62.090000,62.380001,57.790001,60.990002,60.311523,1492518
2022-01-06,60.900002,63.990002,60.540001,63.689999,62.981483,2454987
2022-01-07,63.000000,64.650002,62.700001,64.480003,63.762699,1833800
2022-01-10,64.510002,64.709999,62.709999,63.330002,62.625492,1458519
2022-01-11,63.990002,65.110001,62.700001,65.010002,64.286804,2170639
2022-01-12,64.989998,67.440002,64.989998,67.040001,66.294220,3009592
2022-01-13,66.699997,67.300003,65.540001,65.940002,65.206459,2430034
2022-01-14,66.000000,66.790001,65.769997,66.430000,65.691002,1865511
2022-01-17,66.279999,67.440002,64.800003,66.540001,65.799782,638355
2022-01-18,66.489998,66.489998,63.000000,63.290001,62.585938,1575295
2022-01-19,63.380001,64.180000,62.020000,63.570000,62.862820,1000209
2022-01-20,63.490002,64.989998,63.150002,63.939999,63.228703,1443481
2022-01-21,64.000000,64.809998,62.549999,63.230000,62.526600,974253
2022-01-24,62.700001,63.209999,59.459999,62.889999,62.190384,1538087
2022-01-25,62.389999,63.900002,61.000000,63.009998,62.309048,2864056
2022-01-26,63.549999,63.849998,62.189999,62.389999,61.695946,2311928
2022-01-27,62.540001,63.000000,60.020000,60.540001,59.866528,1733085
2022-01-28,60.799999,62.910000,59.849998,61.529999,60.845512,1819021
2022-01-31,61.790001,65.559998,61.790001,64.589996,63.871468,2847038
2022-02-01,64.349998,65.750000,63.500000,65.099998,64.375801,1511643
2022-02-02,65.099998,65.150002,63.000000,63.209999,62.506824,1268440
2022-02-03,63.270000,63.270000,60.349998,60.910000,60.232410,2217032
2022-02-04,60.580002,62.950001,60.299999,62.009998,61.320171,1025946
2022-02-08,62.119999,63.500000,61.490002,63.400002,62.694714,1140423
2022-02-09,63.490002,64.269997,63.330002,64.040001,63.327591,1323016
2022-02-10,63.650002,64.290001,62.250000,63.439999,62.734264,1954074
2022-02-11,63.360001,65.809998,63.230000,64.629997,63.911026,2007856
2022-02-14,64.629997,64.629997,61.349998,62.900002,62.200275,2359752
2022-02-15,62.990002,63.799999,62.480000,63.070000,62.368382,1273130
2022-02-16,62.950001,64.480003,62.599998,63.220001,62.516716,1489188
2022-02-17,63.240002,64.400002,62.900002,63.750000,63.040817,2834141
2022-02-18,63.779999,65.120003,63.250000,64.809998,64.089020,1420777
2022-02-21,64.699997,65.160004,61.810001,64.690002,63.970364,308954
